employee_id,age,experience_years,education_level,department,hours_per_week,performance_score,remote,join_date,salary
1169,21,1.0,PhD,Sales,39.0,9.1,Yes,2022-05-30,87823.98
1271,40,20.2,Master's,Finance,42.0,10.0,No,2020-04-19,106049.96
1095,47,19.3,Master's,,37.0,6.2,No,2021-02-06,105116.91
1119,47,22.3,Bachelor's,HR,51.0,6.6,No,2022-11-10,117699.39
1087,43,18.2,Master's,,44.0,6.3,Yes,2022-02-14,98478.44
1291,23,0.8,Bachelor's,Engineering,53.0,8.0,Yes,2020-09-16,65778.31
1255,26,4.2,Master's,Sales,46.0,8.5,No,2015-01-07,83569.92
1112,26,4.0,Bachelor's,Finance,34.0,6.9,Yes,2016-01-02,71720.45
1175,37,16.1,High School,HR,,8.3,No,2021-01-27,86908.96
1085,34,7.8,Bachelor's,,43.0,7.9,Yes,2016-08-14,82097.4
1229,52,22.3,PhD,Engineering,,8.2,Yes,2016-11-09,126442.13
1025,39,11.4,Master's,Engineering,40.0,5.8,Yes,2020-09-11,86028.09
1247,44,10.7,High School,Engineering,42.0,9.3,Yes,2019-08-31,85057.76
1063,46,20.7,Master's,Marketing,47.0,9.1,No,2023-08-09,116428.35
1236,44,18.1,High School,HR,51.0,8.7,Yes,2022-05-06,97624.45
1079,32,9.0,High School,Finance,45.0,6.5,No,2020-08-20,70343.99
1100,24,2.7,Bachelor's,HR,50.0,9.8,Yes,2015-03-03,17565.7275
1051,53,24.2,High School,Engineering,,6.3,No,2015-09-29,109431.1
1127,45,20.5,Bachelor's,Marketing,43.0,7.9,No,2016-10-03,113889.57
1280,44,19.9,High School,Engineering,40.0,7.3,Yes,2023-05-07,93273.2
1226,27,6.1,High School,Marketing,43.0,8.8,Yes,2018-02-08,59446.14
1062,33,6.8,Master's,Marketing,44.0,8.8,Yes,2018-03-06,80318.79
1180,24,3.4,Master's,Sales,42.0,7.3,Yes,2024-05-24,74365.6
1188,38,13.9,Bachelor's,Sales,42.0,,No,2017-03-12,94379.33
1070,47,24.7,Bachelor's,Engineering,37.0,6.4,No,2016-10-28,118507.79
1037,30,7.6,Bachelor's,Marketing,33.0,8.0,No,2015-07-14,73621.49
1041,31,3.1,Master's,Marketing,44.0,4.9,Yes,2020-09-04,71073.71
1148,34,12.6,Master's,Marketing,48.0,8.1,Yes,2021-08-04,92086.06
1012,51,24.2,High School,Finance,49.0,7.6,Yes,2021-08-01,99276.79
1235,31,4.9,Bachelor's,Engineering,42.0,5.1,No,2022-03-29,74665.28
1241,43,23.5,Bachelor's,Engineering,45.0,7.1,No,2017-06-07,120226.66
1182,31,2.8,Bachelor's,Engineering,44.0,6.0,No,2015-10-09,71196.34
1156,36,6.1,Master's,Engineering,40.0,8.3,No,2015-03-21,91893.81
1142,33,6.3,Master's,Finance,40.0,6.0,No,2016-12-23,78856.45
1099,25,0.6,Master's,Engineering,34.0,,No,2018-06-22,69140.69
1165,21,2.3,PhD,Marketing,44.0,9.7, no ,2016-04-14,81288.34
1047,32,7.8,Master's,Engineering,35.0,7.0,No,2023-08-12,98866.77
1198,41,22.4,PhD,Sales,38.0,5.5,No,2021-09-08,118687.47
1116,42,21.8,High School,Sales,42.0,6.0,No,2015-10-08,101708.49
1129,26,0.2,High School,Sales,39.0,8.0,No,2022-02-20,57928.91
1245,26,0.4,High School,Sales,38.0,4.7,No,2018-08-07,46527.64
1298,27,5.4,Bachelor's,Engineering,41.0,7.5,No,2015-08-17,75062.71
1130,41,12.8,Master's,HR,39.0,9.0,Yes,2015-01-17,89890.27
1290,40,14.8,Bachelor's,Sales,49.0,8.8,Yes,2016-12-02,101257.1
1016,27,4.6,Bachelor's,Finance,41.0,10.0,No,2022-08-15,80806.1
1008,48,21.7,Master's,Sales,39.0,6.7,No,2018-06-15,117355.43
1264,39,13.0,Bachelor's,Finance,47.0,,No,2023-11-28,88293.98
1162,45,15.8,Bachelor's,Marketing,45.0,6.0, yes ,2019-02-27,94098.44
1238,23,0.6,Bachelor's,HR,51.0,7.5,No,2022-02-22,70548.45
1164,36,13.4,Master's,Marketing,40.0,6.6,No,2018-09-15,90067.27
1217,31,8.1,PhD,HR,39.0,9.2,No,2018-09-20,102055.05
1090,38,11.8,PhD,HR,44.0,5.5,No,2022-11-05,101590.67
1124,24,2.8,High School,Engineering,42.0,8.7,No,2019-09-10,66206.16
1098,37,10.7,High School,Engineering,47.0,6.9,Yes,2024-05-25,79168.22
1240,21,4.4,Master's,Sales,39.0,7.7,Yes,2017-09-29,79129.84
1009,37,15.0,Master's,Engineering,46.0,6.9,No,2020-10-15,98822.65
1029,36,14.8,Bachelor's,Engineering,43.0,7.3,No,2017-05-24,94236.52
1028,39,12.9,Bachelor's,Engineering,40.0,7.9,No,2017-10-28,90540.77
1123,32,8.0,High School,Finance,55.0,6.9, no ,2015-04-14,72186.49
1053,54,23.5,Bachelor's,Marketing,43.0,8.0,No,2016-06-20,107236.34
1267,39,17.4,Bachelor's,Engineering,42.0,8.4,No,2015-09-03,108844.73
1059,24,1.1,Master's,HR,42.0,8.2,No,2020-04-30,73507.88
1149,23,1.3,Bachelor's,Sales,46.0,8.2,No,2017-06-18,69868.86
1284,29,2.3,Bachelor's,Finance,35.0,7.5,No,2023-10-18,64455.25
1154,37,12.2,PhD,Sales,,5.3,Yes,2019-03-11,95078.09
1259,38,14.3,Master's,Engineering,44.0,6.9,No,2021-05-18,96649.57
1032,25,4.3,Bachelor's,HR,40.0,9.7,No,2016-08-14,80312.03
1002,46,23.8,Master's,HR,36.0,5.8,No,2024-03-03,113777.67
1203,33,4.0,Master's,Engineering,47.0,6.3,No,2021-09-29,83247.18
1014,28,5.3,High School,Marketing,38.0,7.7,No,2020-08-31,62554.99
1010,41,17.7,Bachelor's,Finance,36.0,8.0,No,2022-08-31,88407.19
1281,46,22.3,Bachelor's,Sales,49.0,8.3,No,2021-10-28,118803.75
1096,39,12.3,Bachelor's,Finance,41.0,7.6,No,2020-06-23,88988.61
1035,53,24.1,Bachelor's,Engineering,32.0,7.4,No,2017-05-06,115661.22
1097,39,13.1,Master's,Engineering,42.0,9.3,No,2016-12-06,109303.01
1294,28,9.0,Bachelor's,Sales,49.0,5.3,No,2020-08-19,71006.89
1178,35,9.7,Master's,Engineering,50.0,6.2,No,2021-01-04,99800.2
1146,25,0.9,Master's,HR,51.0,3.4,Yes,2023-09-24,60138.38
1227,47,24.3,High School,Finance,38.0,7.8,Yes,2016-04-22,108433.76
1185,35,6.4,High School,Finance,43.0,6.0,No,2017-07-29,51611.04
1046,39,16.6,High School,Finance,46.0,7.3,Yes,2023-02-15,86200.38
1278,38,16.2,Bachelor's,HR,38.0,9.9,Yes,2015-04-26,100436.53
1033,25,1.6,High School,Sales,48.0,6.1,Yes,2019-01-04,50147.21
1078,25,1.9,Bachelor's,Engineering,49.0,10.0,Yes,2018-03-16,81506.62
1221,37,16.4,Bachelor's,HR,37.0,7.7,No,2017-12-30,91753.0
1134,31,8.4,Bachelor's,Engineering,43.0,9.2,Yes,2016-08-09,87590.26
1145,34,7.1,Bachelor's,Sales,36.0,6.3,No,2015-06-07,83808.75
1064,31,8.9,Bachelor's,HR,39.0,8.0,No,2015-11-05,86800.59
1083,36,8.3,Master's,Finance,54.0,6.9,No,2020-09-04,84091.62
1249,48,24.1,PhD,Engineering,43.0,6.5,No,2016-03-14,133229.98
1215,43,17.8,High School,Engineering,43.0,8.0,Yes,2020-10-14,93821.2
1223,25,2.3,Bachelor's,Marketing,37.0,6.2,Yes,2017-02-08,62152.79
1042,36,12.4,Master's,HR,41.0,5.9,Yes,2019-09-18,87240.54
1292,27,0.9,Master's,Sales,40.0,5.3,No,2015-07-30,73421.77
1110,27,1.9,Bachelor's,Marketing,50.0,8.3,No,2020-11-08,72797.82
1172,25,0.4,Master's,Engineering,35.0,6.0,Yes,2020-11-27,68899.6
1209,25,0.1,Bachelor's,Finance,33.0,9.5,No,2018-10-17,67643.49
1122,46,22.4,PhD,Sales,36.0,9.2,No,2018-07-04,124261.08
1052,40,19.4,PhD,Engineering,53.0,8.6,No,2019-05-06,128572.04
1057,27,2.2,Bachelor's,Engineering,46.0,7.9,No,2021-11-22,73933.14
1232,37,12.6,Bachelor's,Engineering,42.0,4.4,No,2016-08-24,101934.63
1159,27,5.9,High School,Marketing,40.0,,Yes,2016-09-18,53754.53
1086,31,8.1,Bachelor's,Engineering,46.0,7.3,Yes,2023-11-28,84869.61
1121,47,20.2,Master's,Engineering,41.0,5.1,Yes,2022-08-03,112123.68
1287,36,11.6,PhD,Sales,42.0,7.3,No,2016-01-19,96327.83
1289,26,7.2,High School,Marketing,39.0,8.7,No,2015-08-05,62499.38
1213,36,16.3,Master's,Sales,45.0,6.7,No,2018-07-31,107195.26
1293,42,20.6,High School,Finance,40.0,9.5,Yes,2015-01-26,96508.89
1200,37,19.5,Master's,Engineering,37.0,4.5,No,2022-12-04,109703.69
1088,40,15.9,Bachelor's,Sales,43.0,7.3,Yes,2016-04-09,96179.27
1166,49,20.9,Bachelor's,Finance,36.0,8.0,No,2016-01-11,108868.43
1186,41,16.5,PhD,Finance,43.0,6.3,No,2019-07-26,108985.27
1106,29,6.2,High School,Sales,42.0,8.1,No,2020-10-14,68550.6
1288,40,13.6,Bachelor's,Sales,47.0,8.6,Yes,2021-12-02,86862.98
1050,31,4.6,PhD,Sales,40.0,6.2,No,2018-09-30,262710.368
1207,21,2.5,High School,Engineering,50.0,7.3,No,2021-11-01,56373.87
1006,28,3.9,Master's,Engineering,40.0,5.5,No,2018-12-07,75454.15
1018,38,13.1,Master's,Marketing,39.0,6.2,No,2016-12-29,94182.13
1233,38,14.4,Bachelor's,Finance,48.0,6.5,No,2022-11-04,93310.25
1117,42,20.1,Master's,Engineering,41.0,6.9,No,2020-07-06,108598.44
1228,30,9.8,High School,,46.0,6.4,Yes,2023-07-21,71988.73
1107,36,10.3,High School,Marketing,,7.4,Yes,2017-09-28,71024.82
1163,43,15.8,Master's,Marketing,45.0,5.5,No,2024-03-11,98474.23
1135,48,23.6,High School,HR,41.0,6.0,No,2024-01-05,99461.24
1266,42,18.5,Master's,Engineering,45.0,4.0,Yes,2022-08-10,103178.55
1191,26,2.3,Master's,Engineering,35.0,7.0,No,2019-02-16,78970.97
1065,34,7.0,Bachelor's,Finance,41.0,6.7,No,2018-01-01,68034.02
1027,30,5.0,Master's,HR,44.0,6.2,No,2022-07-23,77453.84
1214,32,5.6,Master's,,38.0,8.3,Yes,2022-04-12,79328.08
1170,37,14.8,PhD,Engineering,47.0,8.4,Yes,2018-11-30,106190.91
1181,28,8.5,High School,Engineering,39.0,,Yes,2017-06-06,73414.23
1101,25,0.8,Bachelor's,Finance,41.0,4.8,No,2024-02-01,52791.86
1136,32,8.1,Bachelor's,Engineering,50.0,9.7,No,2016-07-27,88776.81
1285,40,14.5,PhD,Finance,43.0,10.0,No,2016-09-20,102356.94
1286,22,0.9,Master's,Marketing,46.0,6.9,Yes,2022-07-05,68638.94
1199,43,22.2,High School,Engineering,43.0,6.6,Yes,2015-12-19,100629.31
1118,28,4.7,Bachelor's,Engineering,45.0,7.4,No,2021-09-17,78489.78
1167,32,8.0,Bachelor's,,47.0,6.1,No,2021-09-21,82106.53
1216,27,5.9,Master's,Engineering,38.0,4.6,Yes,2022-05-19,84860.66
1137,37,13.0,High School,Finance,30.0,6.9,Yes,2016-07-14,70393.17
1030,25,1.2,Master's,Engineering,52.0,4.7,Yes,2021-02-03,75464.46
1080,30,2.9,Master's,Marketing,42.0,,No,2018-12-19,73858.15
1205,44,15.2,Master's,Engineering,43.0,5.2,No,2015-02-01,105248.41
1141,52,24.1,Master's,Engineering,40.0,8.3,No,2024-04-25,124844.81
1158,41,19.0,Bachelor's,Sales,44.0,7.0,No,2017-08-08,106557.82
1132,31,5.6,Bachelor's,Engineering,39.0,8.1,Yes,2018-01-20,79375.83
1040,31,11.0,Master's,Engineering,50.0,5.8,No,2016-06-24,90630.16
1243,52,22.9,Master's,Finance,45.0,8.5,No,2018-06-13,123205.23
1206,21,0.2,Bachelor's,Finance,47.0,,No,2021-01-21,58211.66
1218,40,18.7,Bachelor's,Sales,,9.1,Yes,2019-02-05,107674.86
1055,38,14.9,Bachelor's,Marketing,40.0,7.9,No,2020-04-22,96219.22
1201,39,16.1,Bachelor's,Engineering,44.0,7.6,Yes,2015-10-30,95307.39
1044,48,22.7,High School,Engineering,31.0,9.7,No,2022-02-03,105575.43
1257,52,23.4,Bachelor's,HR,42.0,6.6,No,2016-07-07,108337.15
1049,38,13.7,Bachelor's,Marketing,44.0,10.0,Yes,2017-02-12,93153.33
1036,40,20.2,Bachelor's,HR,37.0,7.5,Yes,2017-11-01,104704.34
1060,31,8.1,Bachelor's,Engineering,40.0,7.8,No,2019-10-08,86523.16
1144,29,7.5,Bachelor's,Sales,38.0,4.2,No,2023-02-04,71462.4
1054,41,22.4,High School,HR,43.0,9.8,No,2016-04-02,110384.45
1021,46,15.3,Bachelor's,Engineering,48.0,6.0,No,2017-06-12,102336.0
1125,30,5.7,Master's,,42.0,7.5,Yes,2024-05-25,74953.31
1143,43,12.4,Bachelor's,Finance,35.0,6.3,Yes,2022-09-14,80404.76
1111,32,7.2,Bachelor's,Marketing,41.0,8.0,Yes,2019-05-07,64936.62
1239,39,16.1,Master's,Engineering,46.0,6.9,Yes,2023-08-13,107275.32
1077,45,19.3,Master's,Engineering,33.0,8.0,No,2016-06-06,114018.66
1275,35,12.8,Bachelor's,Finance,43.0,7.9,No,2023-01-02,91950.66
1108,41,18.9,Master's,Sales,36.0,6.2,No,2018-02-16,105531.5
1094,34,14.0,Bachelor's,Sales,39.0,4.7,No,2022-11-08,81450.9
1013,41,20.8,Bachelor's,Sales,30.0,7.2,No,2016-04-04,102933.37
1017,37,7.6,Bachelor's,Marketing,44.0,6.0,Yes,2024-05-16,74090.35
1048,36,13.0,Master's,HR,48.0,8.8,No,2020-10-06,102170.72
1187,48,20.4,Bachelor's,Marketing,40.0,6.5,No,2023-01-21,104545.32
1204,47,22.5,Master's,Sales,44.0,9.4,No,2022-09-21,116850.43
1260,31,2.4,Master's,Marketing,43.0,6.9,Yes,2018-07-24,68043.37
1120,42,13.5,Master's,Finance,48.0,7.5,No,2021-01-06,91265.72
1022,31,3.5,Bachelor's,HR,43.0,8.8,No,2023-08-18,69649.06
1147,46,15.2,PhD,Finance,47.0,4.6,No,2017-01-25,101157.47
1179,50,23.4,Master's,Engineering,43.0,9.0,No,2016-01-29,120599.71
1084,26,1.6,Master's,Finance,43.0,7.4,No,2020-11-24,68860.28
1131,34,10.4,Bachelor's,Marketing,42.0,7.3,No,2019-11-14,78016.04
1160,44,18.2,Bachelor's,Engineering,48.0,3.9,Yes,2022-05-21,102776.69
1128,43,21.5,High School,Engineering,41.0,7.7,No,2015-08-18,104450.93
1210,28,4.0,Master's,Finance,36.0,6.3,Yes,2020-09-11,66624.76
1222,40,14.2,Bachelor's,Engineering,47.0,7.4,Yes,2021-08-31,98461.31
1074,45,20.4,Bachelor's,Marketing,51.0,7.1,Yes,2018-08-14,100081.76
1230,40,15.8,Bachelor's,Engineering,43.0,2.7,Yes,2015-06-03,91695.9
1297,44,19.2,Master's,Engineering,40.0,6.9,Yes,2016-07-02,111458.46
1031,29,15.2,Bachelor's,Finance,46.0,9.3,No,2017-01-20,91727.65
1124,24,2.8,High School,Engineering,42.0,8.7,No,2019-09-10,66206.16
1034,44,23.7,Bachelor's,Engineering,40.0,6.4,No,2018-06-19,118532.76
1272,46,20.3,Master's,Marketing,40.0,6.8,Yes,2019-05-20,113337.19
1005,22,3.9,Bachelor's,HR,,9.3,No,2022-06-23,70392.49
1020,34,7.3,Bachelor's,Sales,41.0,6.2,Yes,2018-09-25,68745.25
1220,48,21.2,Master's,HR,35.0,7.6,Yes,2019-03-27,107432.8
1300,21,2.1,Bachelor's,Engineering,37.0,7.6, no ,2024-05-22,72108.02
1150,29,7.0,Master's,Sales,36.0,7.6,Yes,2023-07-02,81164.49
1225,30,6.6,Bachelor's,HR,44.0,7.0,Yes,2020-08-06,240470.496
1248,52,24.2,Master's,Finance,45.0,8.3,Yes,2015-12-14,123935.21
1270,37,7.3,Bachelor's,Engineering,39.0,2.7,No,2023-08-16,70402.84
1152,28,6.0,High School,Engineering,44.0,6.9,No,2016-02-25,76165.87
1234,36,12.3,Bachelor's,Engineering,38.0,5.3,Yes,2018-07-30,85975.62
1011,26,0.5,Master's,Engineering,45.0,5.3,Yes,2020-04-21,66412.58
1072,31,5.0,High School,Sales,49.0,,No,2021-03-05,75074.39
1253,43,21.3,Bachelor's,Finance,45.0,7.6, no ,2018-09-26,102377.35
1093,40,19.0,Master's,Engineering,50.0,8.8,Yes,2017-10-03,112991.14
1193,48,22.5,PhD,Finance,43.0,9.6,No,2023-06-30,119226.36
1258,44,17.4,PhD,Finance,34.0,6.7,Yes,2019-06-30,107617.8
1295,22,3.2,Bachelor's,Engineering,50.0,7.5,No,2022-11-13,69015.64
1196,35,8.7,Master's,Marketing,44.0,7.2,No,2023-12-26,21333.2875
1138,39,17.6,Master's,Sales,47.0,4.9,No,2020-12-14,106310.32
1261,40,15.4,Bachelor's,Engineering,,8.1,Yes,2017-10-27,103416.72
1039,45,17.1,Master's,Engineering,42.0,6.7,Yes,2015-11-30,107664.14
1202,28,2.1,Master's,Finance,33.0,8.0,Yes,2018-01-27,64583.79
1190,35,6.0,Bachelor's,HR,33.0,6.1,No,2018-04-13,64310.26
1252,34,9.6,High School,,45.0,10.0,No,2017-12-07,80879.34
1113,46,23.2,Bachelor's,Marketing,41.0,9.8,Yes,2019-09-09,106922.19
1184,44,21.9,Bachelor's,HR,48.0,7.3,No,2023-06-14,106626.57
1153,25,3.6,Bachelor's,Marketing,36.0,7.0,Yes,2015-10-28,70808.21
1192,49,22.4,Bachelor's,Sales,46.0,10.0,No,2019-06-06,121546.28
1045,31,6.5,Bachelor's,Engineering,43.0,6.2,No,2019-03-26,66379.5
1276,34,12.5,Bachelor's,HR,40.0,5.4,No,2021-06-13,81455.94
1007,24,1.5,Master's,Marketing,47.0,8.5,Yes,2021-07-12,71152.38
1251,27,7.4,High School,Finance,44.0,6.5,No,2022-05-24,66554.82
1076,40,18.2,Bachelor's,Engineering,36.0,8.1,No,2019-03-18,98625.65
1001,34,9.4,Bachelor's,Sales,42.0,5.5,No,2018-09-18,76100.57
1069,23,1.9,Bachelor's,Finance,46.0,7.6,Yes,2023-09-15,64040.04
1168,32,4.7,Bachelor's,Finance,41.0,7.9,Yes,2017-08-25,71839.86
1219,40,16.2,Master's,Sales,37.0,6.1,No,2017-03-14,101553.93
1043,22,0.9,PhD,Engineering,46.0,7.0,Yes,2023-05-02,78951.3
1073,24,0.1,Bachelor's,Sales,44.0,7.3,No,2020-03-24,54755.93
1024,32,9.2,High School,Marketing,40.0,,No,2016-08-03,64396.64
1186,41,16.5,PhD,Finance,43.0,6.3,No,2019-07-26,108985.27
1104,36,12.7,Master's,Finance,34.0,6.2,No,2015-09-22,92031.33
1212,41,17.3,PhD,Finance,42.0,6.9,Yes,2019-03-22,111359.27
1068,46,20.1,Master's,Engineering,44.0,5.8,No,2018-05-31,114488.99
1026,41,19.6,Master's,,40.0,,No,2020-07-12,119660.5
1197,45,18.1,Bachelor's,Engineering,39.0,7.9,No,2022-08-22,107454.54
1176,28,4.4,Master's,Sales,51.0,8.0,No,2015-04-26,84877.43
